Usage,Temp,Hour
0.121,74,23
0.169,72,0
0.901,72,1
0.348,72,2
0.181,72,3
0.12,72,4
0.131,72,5
0.429,72,6
0.121,72,7
0.122,72,8
0.121,72,9
0.13,72,10
0.131,72,11
2.99,72,12
0.424,72,13
0.122,72,14
0.576,72,15
0.122,72,16
0.131,72,17
0.492,72,18
0.187,72,19
0.256,72,20
0.261,72,21
0.038,72,22
0.826,72,23
0.43,56,14
0.202,56,15
0.132,56,16
0.149,56,17
0.516,56,18
0.139,56,19
0.125,56,20
0.329,56,21
0.467,56,22
0.319,56,23
0.279,52,0
0.663,52,1
0.415,52,2
1.695,52,9
1.587,52,10
1.276,52,11
0.129,52,12
0.568,52,13
0.131,52,14
0.126,52,15
0.122,52,16
1.247,52,17
0.649,52,18
0.347,52,19
0.161,52,20
0.488,52,21
0.156,52,22
0.092,52,23
0.111,64,4
3.514,64,9
0.312,64,10
1.075,64,12
0.123,64,13
0.119,64,14
0.108,64,15
0.462,64,16
0.141,64,17
1.535,64,19
0.34,64,20
0.77,64,21
0.63,64,22
0.686,64,23
0.353,60,0
0.63,60,1
0.382,60,2
0.242,60,3
1.035,60,4
1.868,60,5
1.806,60,6
4.349,60,7
1.392,60,8
0.44,60,9
0.176,60,10
0.122,60,11
0.122,60,12
0.478,60,13
0.451,60,14
0.134,60,15
0.125,60,16
0.125,60,17
0.453,60,18
0.123,60,19
0.132,60,20
0.134,60,21
0.127,60,22
0.122,60,23
0.544,52,0
0.322,52,1
0.584,52,2
0.265,52,3
0.242,52,4
0.155,52,5
0.114,52,6
0.431,52,7
0.111,52,8
0.121,52,9
0.123,52,10
0.113,52,11
0.139,52,12
2.223,52,13
0.136,52,14
0.521,52,15
0.114,52,16
0.112,52,17
0.112,52,18
0.438,52,19
0.113,52,20
0.114,52,21
0.123,52,22
0.12,52,23
0.451,56,0
0.195,56,1
0.287,56,2
0.245,56,3
0.461,56,4
0.113,56,5
0.113,56,6
0.113,56,7
0.122,56,8
0.121,56,9
0.373,56,10
0.228,56,11
2.151,56,12
0.112,56,13
0.517,56,14
0.112,56,15
0.113,56,16
0.112,56,17
0.424,56,18
0.114,56,19
0.119,56,20
0.118,56,21
0.454,56,22
0.118,56,23
0.295,62,0
0.617,62,1
0.701,62,2
0.325,62,3
0.12,62,4
0.378,62,5
1.904,62,7
3.457,62,8
0.127,62,9
0.067,62,10
0.576,62,11
0.16,62,12
0.646,62,13
0.117,62,14
0.428,62,15
0.113,62,16
0.112,62,17
0.099,62,18
2.168,62,19
1.41,62,20
0.224,62,21
1.146,52,2
0.915,52,3
1.892,52,4
0.086,52,5
3.806,52,8
1.979,52,11
0.125,52,12
0.527,52,13
0.172,52,14
0.173,52,15
0.365,52,16
0.199,52,17
0.117,52,18
0.162,52,19
0.558,52,20
1.484,52,21
1.241,52,22
0.347,52,23
0.292,50,0
0.585,50,1
0.22,50,2
0.309,50,4
0.247,50,5
0.594,50,6
0.248,50,7
0.359,50,8
0.008,50,9
0.559,50,12
0.571,50,15
0.632,50,16
0.28,50,17
0.605,50,18
0.081,50,19
2.284,50,20
1.622,50,21
0.704,50,22
0.229,50,23
0.56,50,0
0.509,50,1
0.564,50,2
0.811,50,3
0.447,50,4
0.311,50,5
0.365,50,6
0.574,50,7
2.415,50,8
0.123,50,9
0.16,50,10
0.483,50,11
0.115,50,12
0.117,50,13
0.125,50,14
0.948,50,15
0.191,50,16
0.25,50,17
0.427,50,18
0.251,50,19
1.662,50,20
1.673,50,21
0.928,50,22
0.303,50,23
1.216,55,0
0.312,55,1
0.618,55,2
0.291,55,3
0.546,55,4
0.209,55,5
0.162,55,6
0.213,55,7
0.138,55,8
0.422,55,9
0.128,55,10
0.115,55,11
0.115,55,12
0.496,55,13
0.116,55,14
0.114,55,15
0.124,55,16
0.441,55,17
0.12,55,18
0.117,55,19
0.115,55,20
0.115,55,21
0.114,55,22
0.229,55,23
0.341,59,0
0.126,59,1
0.208,59,2
0.694,59,3
0.186,59,4
0.117,59,5
0.116,59,6
0.446,59,7
0.125,59,8
0.124,59,9
0.117,59,10
0.113,59,11
0.403,59,12
1.73,59,13
0.115,59,14
0.536,59,15
0.124,59,16
0.16,59,17
0.201,59,18
0.557,59,19
0.128,59,20
0.132,59,21
0.117,59,22
0.924,59,23
1.258,61,0
2.34,61,1
0.656,61,2
0.304,61,3
0.511,61,4
0.943,61,5
0.115,61,6
0.112,61,7
0.115,61,8
0.114,61,9
0.446,61,10
0.122,61,11
0.128,61,12
0.131,61,13
1.122,61,14
1.404,61,15
0.115,61,16
0.512,61,17
0.114,61,18
0.124,61,19
0.117,61,20
0.465,61,21
0.115,61,22
0.114,61,23
0.215,62,0
0.26,62,1
0.511,62,2
0.833,62,5
0.117,62,6
0.114,62,7
0.114,62,8
0.122,62,9
0.123,62,10
0.118,62,11
0.485,62,12
1.287,62,13
0.113,62,14
0.123,62,15
0.442,62,16
0.116,62,17
0.122,62,18
0.123,62,19
0.459,62,20
0.113,62,21
0.115,62,22
0.112,62,23
0.112,56,0
0.576,56,1
0.309,56,2
1.344,56,3
0.918,56,4
0.463,56,5
0.115,56,6
0.115,56,7
0.46,56,8
0.115,56,9
0.123,56,10
0.121,56,11
0.14,56,12
1.397,56,13
0.136,56,14
0.127,56,15
0.449,56,16
0.121,56,17
0.114,56,18
0.113,56,19
0.112,56,20
0.417,56,21
0.116,56,22
0.123,56,23
0.122,57,0
0.115,57,1
0.112,57,2
0.45,57,3
0.093,57,4
0.112,57,5
0.12,57,6
0.122,57,7
0.119,57,8
0.111,57,9
0.472,57,10
0.113,57,11
0.112,57,12
0.114,57,13
0.126,57,14
0.121,57,15
0.114,57,16
0.112,57,17
0.493,57,18
0.112,57,19
0.113,57,20
0.119,57,21
0.123,57,22
0.24,57,23
0.148,49,0
0.118,49,1
0.525,49,2
0.124,49,3
0.1,49,4
0.113,49,5
0.114,49,6
0.112,49,7
0.113,49,8
0.486,49,9
0.167,49,10
0.122,49,11
0.113,49,12
0.111,49,13
0.111,49,14
0.111,49,15
0.111,49,16
0.111,49,17
0.566,49,18
0.12,49,19
0.122,49,20
0.114,49,21
0.112,49,22
0.111,49,23
0.111,51,0
0.111,51,1
0.575,51,2
0.321,51,3
0.298,51,4
2.087,51,5
1.176,51,6
0.368,51,7
0.559,51,8
0.197,51,9
0.171,51,10
0.133,51,11
0.577,51,12
0.112,51,13
0.44,51,14
0.112,51,15
0.113,51,16
0.145,51,17
0.486,51,18
0.12,51,19
0.12,51,20
0.111,51,21
0.112,51,22
0.426,51,23
0.139,50,0
0.299,50,1
0.534,50,2
0.529,50,3
0.302,50,4
0.163,50,5
0.115,50,6
0.398,50,7
0.114,50,8
0.112,50,9
0.112,50,10
0.111,50,11
0.097,50,12
2.551,50,13
0.603,50,14
0.116,50,15
0.517,50,16
0.118,50,17
0.116,50,18
0.44,50,19
0.2,50,20
0.165,50,21
0.137,50,22
0.113,50,23
0.529,48,0
0.31,48,1
0.305,48,2
0.241,48,3
0.38,48,4
0.121,48,5
0.121,48,6
0.111,48,7
0.112,48,8
0.402,48,9
0.11,48,10
0.109,48,11
1.937,48,12
0.119,48,13
0.476,48,14
0.116,48,15
0.109,48,16
0.414,48,17
0.111,48,18
0.11,48,19
0.11,48,20
0.368,48,21
0.119,48,22
0.118,48,23
0.121,57,0
0.859,57,1
0.305,57,2
0.426,57,3
0.221,57,4
0.266,57,5
0.225,57,6
